Population #,Replicate #,clutch_1_date,AMPM_1,clutch_2_date,AMPM_2,clutch_3_date,AMPM_3,clutch_4_date,AMPM_4,clutch_5_date,AMPM_5,clutch_6_date,AMPM_6,clutch_7_date,AMPM_7,,Clutch size,(clutch count date),Notes,,Inbreeding? (for age at maturity) ,inbred_gravid_1_date,inb_AMPM_1,inbred_gravid_2_date,inb_AMPM_2,inbred_gravid_3_date,inb_AMPM_3,inbred_gravid_4_date,inb_AMPM_4,inbred_gravid_5_date,inb_AMPM_5,inbred_gravid6_date,inb_AMPM_6,inbred_gravid7_date,inb_AMPM_7,inbred_gravid8_date,inb_AMPM_8,,,,,,,,
2292396,1,6/19/2017,AM,mother died (7/4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2292396,2,6/20/2017,PM,6/24/2017,PM,6/28/2017,AM,7/2/2017,AM,7/6/2017,AM,7/10/2017,AM,7/14/2017,AM,,52,6/23/2017,,,Y,7/21/2017,PM,7/22/2017,AM,7/23/2017,PM,7/24/2017,AM,7/24/2017,AM,7/24/2017,AM,7/24/2017,AM,7/24/2017,AM,7/24/2017,PM,7/24/2017,PM,,,,
2292396,3,6/19/2017,AM,6/22/2017,AM,6/26/2017,AM,7/4/2017,AM,7/8/2017,AM,7/12/2017,AM,7/16/2017,AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2292396,4,6/19/2017,AM,6/21/2017,AM,6/25/2017,AM,6/28/2017,PM,7/2/2017,PM,7/7/2017,AM,7/10/2017,PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2292396,5,6/18/2017,PM,6/23/2017,PM,6/27/2017,AM,6/30/2017,PM,7/5/2017,AM,7/8/2017,AM,7/12/2017,AM,,21,6/23/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,
2292396,6,6/19/2017,PM,6/24/2017,AM,6/27/2017,PM,7/1/2017,PM,mother died (07/1 PM) before clutch_5,,,,,,,69,6/23/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,
2292396,7,6/18/2017,PM,6/24/2017,PM,6/27/2017,AM,7/1/2017,PM,7/4/2017,PM,7/8/2017,AM,7/12/2017,AM,,,,maybe not enough food?,,,,,,,,,,,,,,,,,,,,,,,,,,
2292396,8,6/18/2017,PM,6/24/2017,AM,6/27/2017,AM,6/30/2017,PM,7/4/2017,AM,7/8/2017,AM,7/11/2017,PM,,,,maybe not enough food?,,,,,,,,,,,,,,,,,,,,,,,,,,
2292396,9,6/18/2017,PM,6/23/2017,AM,6/27/2017,AM,7/1/2017,AM,7/5/2017,AM,7/9/2017,AM,7/13/2017,AM,,30,6/28/2017,maybe not enough food?,,Y,7/12/2017,PM,7/17/2017,AM,7/17/2017,AM,7/18/2017,AM,7/24/2017,AM,7/24/2017,PM,7/27/2017,AM,,,,,,,,,,
2292396,10,6/21/2017,PM,6/25/2017,AM,6/28/2017,PM,7/2/2017,PM,7/6/2017,PM,7/10/2017,AM,,,,58,6/28/2017,,,Y,7/11/2017,PM,7/18/2017,PM,7/19/2017,AM,7/19/2017,PM,7/20/2017,AM,7/20/2017,AM,7/20/2017,AM,,,,,,,,,,
