"","Population","N","mu","sd","se","ci"
"1",906035,12,0.040353309794646,0.00262590263452449,0.000758032796454231,0.00166841893585853
"2",906044,11,0.0364327832242447,0.00406990349432516,0.00122712207487572,0.00273419837116059
"3",1181396,9,0.0386788601209328,0.00514012326198747,0.00171337442066249,0.00395104849920074
"4",2276018,10,0.0385555495723122,0.00382553263908243,0.00120973964028153,0.0027366211923838
"5",2276020,12,0.0339316201873725,0.00325911850831792,0.000940826474049123,0.00207074510760346
"6",2276206,12,0.0305024854286435,0.00376767893542074,0.00108763522379262,0.00239386898716052
"7",2278765,11,0.028987078888656,0.00265142685579852,0.000799435276341404,0.00178125279886467
"8",2278766,8,0.0282960227714678,0.00285388953316317,0.0010090023208285,0.00238591135774446
"9",2287937,12,0.0323518337116994,0.00642921764293332,0.00185595526841312,0.00408493000357118
"10",2287954,10,0.0280215165785494,0.00296597115898738,0.00093792243367695,0.00212172795149144
"11",2292396,11,0.0334138544654743,0.00309039729615083,0.000931789844041923,0.00207615715339604
"12",2382989,10,0.0302629107524897,0.00405476363310475,0.00128222884542303,0.00290060316702018
"13",2401944,11,0.0303385444078417,0.00408420526205917,0.00123143422009504,0.00274380642945917
"14",9742332,11,0.0280433011892633,0.00278214620835287,0.000838848644092401,0.00186907125483828
"15",9742335,12,0.0296213360479109,0.00293877903424988,0.000848352433256498,0.00186721111612519
"16",9742339,10,0.0434718368812261,0.00466983304874577,0.00147673087267647,0.00334059732115033
"17",20148874,12,0.0382647049606214,0.00464264063775336,0.0013402149109788,0.00294979313039787
"18",20148875,9,0.0364070162645286,0.00177648750971565,0.00059216250323855,0.00136552918118095
"19",20148876,12,0.039775558070351,0.00484804326539703,0.00139950954215996,0.00308029973370072
"20",20148877,11,0.0413540889219316,0.00437100413002444,0.00131790733239863,0.00293648053063497
"21",20148878,11,0.0347894766948835,0.00453925161838278,0.00136863585883538,0.00304951073129272
"22",20148879,12,0.0414153417612294,0.00748680094968259,0.00216125327183419,0.00475688637850656
