#,Date,"Time,",GMT-05:00,Temp
1,6/7/2017 0:00,12:00:00,PM,20.519
2,6/7/2017 0:00,12:05:00,PM,20.805
3,6/7/2017 0:00,12:10:00,PM,21.091
4,6/7/2017 0:00,12:15:00,PM,21.378
5,6/7/2017 0:00,12:20:00,PM,21.664
6,6/7/2017 0:00,12:25:00,PM,21.951
7,6/7/2017 0:00,12:30:00,PM,22.238
8,6/7/2017 0:00,12:35:00,PM,22.429
9,6/7/2017 0:00,12:40:00,PM,22.717
10,6/7/2017 0:00,12:45:00,PM,22.908
11,6/7/2017 0:00,12:50:00,PM,23.1
12,6/7/2017 0:00,12:55:00,PM,23.292
13,6/7/2017 0:00,1:00:00,PM,23.388
14,6/7/2017 0:00,1:05:00,PM,23.484
15,6/7/2017 0:00,1:10:00,PM,23.581
16,6/7/2017 0:00,1:15:00,PM,23.677
17,6/7/2017 0:00,1:20:00,PM,23.773
18,6/7/2017 0:00,1:25:00,PM,23.869
19,6/7/2017 0:00,1:30:00,PM,24.062
20,6/7/2017 0:00,1:35:00,PM,24.931
21,6/7/2017 0:00,1:40:00,PM,25.708
22,6/7/2017 0:00,1:45:00,PM,25.61
23,6/7/2017 0:00,1:50:00,PM,25.416
24,6/7/2017 0:00,1:55:00,PM,25.416
25,6/7/2017 0:00,2:00:00,PM,25.319
26,6/7/2017 0:00,2:05:00,PM,24.835
27,6/7/2017 0:00,2:10:00,PM,24.931
28,6/7/2017 0:00,2:15:00,PM,24.641
29,6/7/2017 0:00,2:20:00,PM,22.333
30,6/7/2017 0:00,2:25:00,PM,21.569
31,6/7/2017 0:00,2:30:00,PM,23.869
32,6/7/2017 0:00,2:35:00,PM,26.195
33,6/7/2017 0:00,2:40:00,PM,25.708
34,6/7/2017 0:00,2:45:00,PM,26.195
35,6/7/2017 0:00,2:50:00,PM,26
36,6/7/2017 0:00,2:55:00,PM,25.708
37,6/7/2017 0:00,3:00:00,PM,25.416
38,6/7/2017 0:00,3:05:00,PM,25.513
39,6/7/2017 0:00,3:10:00,PM,25.513
40,6/7/2017 0:00,3:15:00,PM,25.416
41,6/7/2017 0:00,3:20:00,PM,24.835
42,6/7/2017 0:00,3:25:00,PM,24.448
43,6/7/2017 0:00,3:30:00,PM,23.966
44,6/7/2017 0:00,3:35:00,PM,23.773
45,6/7/2017 0:00,3:40:00,PM,23.773
46,6/7/2017 0:00,3:45:00,PM,23.869
47,6/7/2017 0:00,3:50:00,PM,24.062
48,6/7/2017 0:00,3:55:00,PM,24.158
49,6/7/2017 0:00,4:00:00,PM,24.062
