"","Population","Region","Period"
"1","1181396","FH",8
"2","20148877","FH",1.64583333333333
"3","20148879","FH",1.3
"4","2276020","FH",1.64
"5","2278765","NB",8.06666666666667
"6","2292396","NB",3.90322580645161
"7","2401944","NB",4.56
"8","906044","FH",1.41379310344828
"9","9742335","NB",13.4444444444444
"10","20148874","FH",2.07894736842105
"11","20148876","FH",1.38983050847458
"12","20148878","FH",2.1025641025641
"13","2276018","FH",1.51851851851852
"14","2276206","NB",2.23636363636364
"15","2278766","NB",6.66666666666667
"16","2382989","NB",3.6551724137931
"17","906035","FH",2.27777777777778
"18","9742332","NB",5.04347826086957
"19","9742339","FH",4.27777777777778
